X0             Y0             Theta          X              Y              
25.0000        65.0000        -0.4707        30.0120        62.4495        
25.0000        65.0000        -0.1571        30.0113        64.2064        
25.0000        65.0000        0.1566         30.0106        65.7912        
25.0000        65.0000        0.4703         30.0098        67.5465        
25.0000        65.0000        0.7839         30.0085        69.9934        
25.0000        65.0000        1.0984         27.5528        69.9957        
25.0000        65.0000        1.4128         25.7958        69.9964        
25.0000        65.0000        1.7273         24.2116        69.9968        
25.0000        65.0000        2.0417         22.4557        69.9972        
25.0000        65.0000        2.3562         20.0064        69.9975        
25.0000        65.0000        2.6705         20.0049        67.5443        
25.0000        65.0000        2.9848         20.0051        65.7897        
25.0000        75.0000        3.2991         20.0037        74.2063        
25.0000        75.0000        3.6135         20.0041        72.4505        
25.0000        75.0000        3.9278         20.0044        69.9986        
25.0000        75.0000        4.2418         22.4553        69.9972        
25.0000        75.0000        4.5559         24.2106        69.9969        
25.0000        75.0000        4.8700         25.7950        69.9965        
25.0000        75.0000        5.1840         27.5522        69.9959        
25.0000        75.0000        5.4981         30.0085        69.9942        
25.0000        75.0000        -0.4712        30.0074        72.4489        
25.0000        75.0000        -0.1573        30.0067        74.2059        
25.0000        75.0000        0.1566         30.0060        75.7905        
25.0000        75.0000        0.4705         30.0053        77.5458        
25.0000        75.0000        0.7844         30.0046        79.9943        
25.0000        75.0000        1.0988         27.5506        79.9960        
25.0000        75.0000        1.4131         25.7944        79.9964        
25.0000        75.0000        1.7275         24.2107        79.9968        
25.0000        75.0000        2.0418         22.4552        79.9971        
25.0000        75.0000        2.3562         20.0028        79.9974        
25.0000        75.0000        2.6705         20.0032        77.5451        
25.0000        75.0000        2.9848         20.0035        75.7899        
25.0000        85.0000        3.2990         20.0023        84.2066        
25.0000        85.0000        3.6133         20.0025        82.4507        
25.0000        85.0000        3.9276         20.0029        79.9980        
25.0000        85.0000        4.2416         22.4539        79.9972        
25.0000        85.0000        4.5557         24.2094        79.9969        
25.0000        85.0000        4.8697         25.7937        79.9966        
25.0000        85.0000        5.1837         27.5503        79.9963        
25.0000        85.0000        5.4978         30.0044        79.9951        
25.0000        85.0000        -0.4714        30.0039        82.4497        
25.0000        85.0000        -0.1573        30.0034        84.2063        
25.0000        85.0000        0.1567         30.0031        85.7906        
25.0000        85.0000        0.4708         30.0028        87.5461        
25.0000        85.0000        0.7848         30.0025        89.9956        
25.0000        85.0000        1.0991         27.5493        89.9975        
25.0000        85.0000        1.4134         25.7934        89.9977        
25.0000        85.0000        1.7276         24.2096        89.9979        
25.0000        85.0000        2.0419         22.4541        89.9981        
25.0000        85.0000        2.3562         20.0021        89.9982        
25.0000        85.0000        2.6705         20.0019        87.5459        
25.0000        85.0000        2.9847         20.0021        85.7904        
25.0000        95.0000        3.2989         20.0014        94.2072        
25.0000        95.0000        3.6131         20.0016        92.4514        
25.0000        95.0000        3.9273         20.0018        89.9984        
25.0000        95.0000        4.2414         22.4532        89.9981        
25.0000        95.0000        4.5555         24.2088        89.9981        
25.0000        95.0000        4.8696         25.7930        89.9979        
25.0000        95.0000        5.1837         27.5493        89.9976        
25.0000        95.0000        5.4978         30.0019        89.9971        
25.0000        95.0000        -0.4713        30.0021        92.4510        
25.0000        95.0000        -0.1572        30.0018        94.2073        
25.0000        95.0000        0.1569         30.0017        95.7914        
25.0000        95.0000        0.4710         30.0017        97.5472        
25.0000        95.0000        0.7852         30.0016        99.9989        
25.0000        95.0000        1.0994         27.5484        99.9992        
25.0000        95.0000        1.4136         25.7925        99.9992        
25.0000        95.0000        1.7278         24.2087        99.9993        
25.0000        95.0000        2.0420         22.4531        99.9993        
25.0000        95.0000        2.3562         20.0017        99.9993        
25.0000        95.0000        2.6704         20.0014        97.5465        
25.0000        95.0000        2.9847         20.0015        95.7910        
35.0000        15.0000        3.2985         30.0019        14.2093        
35.0000        15.0000        3.6128         30.0018        12.4537        
35.0000        15.0000        3.9270         30.0016        10.0014        
35.0000        15.0000        4.2412         32.4535        10.0010        
35.0000        15.0000        4.5555         34.2090        10.0012        
35.0000        15.0000        4.8697         35.7927        10.0013        
35.0000        15.0000        5.1839         37.5485        10.0014        
35.0000        15.0000        5.4981         40.0012        10.0014        
35.0000        15.0000        -0.4710        40.0015        12.4534        
35.0000        15.0000        -0.1568        40.0016        14.2092        
35.0000        15.0000        0.1573         40.0017        15.7935        
35.0000        15.0000        0.4715         40.0019        17.5501        
35.0000        15.0000        0.7856         40.0024        20.0046        
35.0000        15.0000        1.0996         37.5492        20.0039        
35.0000        15.0000        1.4136         35.7929        20.0036        
35.0000        15.0000        1.7276         34.2088        20.0033        
35.0000        15.0000        2.0416         32.4532        20.0031        
35.0000        15.0000        2.3557         30.0025        20.0029        
35.0000        15.0000        2.6699         30.0022        17.5491        
35.0000        15.0000        2.9842         30.0020        15.7932        
35.0000        25.0000        3.2982         30.0032        24.2108        
35.0000        25.0000        3.6126         30.0029        22.4555        
35.0000        25.0000        3.9269         30.0025        20.0035        
35.0000        25.0000        4.2412         32.4545        20.0033        
35.0000        25.0000        4.5555         34.2098        20.0035        
35.0000        25.0000        4.8699         35.7934        20.0037        
35.0000        25.0000        5.1842         37.5491        20.0041        
35.0000        25.0000        5.4985         40.0022        20.0048        
35.0000        25.0000        -0.4705        40.0028        22.4556        
35.0000        25.0000        -0.1563        40.0032        24.2114        
35.0000        25.0000        0.1578         40.0037        25.7964        
35.0000        25.0000        0.4720         40.0044        27.5547        
35.0000        25.0000        0.7862         40.0054        29.9976        
35.0000        25.0000        1.1000         37.5486        30.0073        
35.0000        25.0000        1.4138         35.7925        30.0065        
35.0000        25.0000        1.7276         34.2085        30.0059        
35.0000        25.0000        2.0414         32.4535        30.0053        
35.0000        25.0000        2.3552         30.0047        30.0049        
35.0000        25.0000        2.6696         30.0039        27.5505        
35.0000        25.0000        2.9839         30.0036        25.7945        
35.0000        35.0000        3.2981         30.0061        34.2120        
35.0000        35.0000        3.6125         30.0054        32.4570        
35.0000        35.0000        3.9270         30.0047        30.0052        
35.0000        35.0000        4.2414         32.4570        30.0054        
35.0000        35.0000        4.5559         34.2121        30.0061        
35.0000        35.0000        4.8704         35.7954        30.0067        
35.0000        35.0000        5.1848         37.5513        30.0074        
35.0000        35.0000        5.4993         40.0053        30.0096        
35.0000        35.0000        -0.4700        40.0068        32.4567        
35.0000        35.0000        -0.1561        40.0081        34.2118        
35.0000        35.0000        0.1578         40.0094        35.7972        
35.0000        35.0000        0.4717         40.0112        37.5563        
35.0000        35.0000        0.7856         40.0145        40.0166        
35.0000        35.0000        1.0994         37.5538        40.0107        
35.0000        35.0000        1.4133         35.7956        40.0089        
35.0000        35.0000        1.7271         34.2109        40.0076        
35.0000        35.0000        2.0409         32.4560        40.0066        
35.0000        35.0000        2.3548         30.0092        40.0057        
35.0000        35.0000        2.6692         30.0076        37.5510        
35.0000        35.0000        2.9836         30.0068        35.7953        
35.0000        45.0000        3.2981         30.0107        44.2125        
35.0000        45.0000        3.6127         30.0098        42.4584        
35.0000        45.0000        3.9272         30.0087        40.0068        
35.0000        45.0000        4.2419         32.4607        40.0066        
35.0000        45.0000        4.5567         34.2163        40.0077        
35.0000        45.0000        4.8714         35.8005        40.0090        
35.0000        45.0000        5.1862         37.5581        40.0107        
35.0000        45.0000        5.5009         40.0139        40.0163        
35.0000        45.0000        -0.4691        40.0183        42.4564        
35.0000        45.0000        -0.1560        40.0213        44.2104        
35.0000        45.0000        0.1572         40.0244        45.7963        
35.0000        45.0000        0.4703         40.0281        47.5561        
35.0000        45.0000        0.7835         40.0334        50.0138        
35.0000        45.0000        1.0977         37.5629        50.0069        
35.0000        45.0000        1.4119         35.8020        50.0053        
35.0000        45.0000        1.7261         34.2163        50.0043        
35.0000        45.0000        2.0404         32.4611        50.0035        
35.0000        45.0000        2.3546         30.0132        50.0030        
35.0000        45.0000        2.6691         30.0122        47.5493        
35.0000        45.0000        2.9836         30.0115        45.7946        
35.0000        55.0000        3.2989         30.0138        54.2093        
35.0000        55.0000        3.6134         30.0136        52.4556        
35.0000        55.0000        3.9280         30.0131        50.0033        
35.0000        55.0000        4.2429         32.4650        50.0036        
35.0000        55.0000        4.5578         34.2214        50.0045        
35.0000        55.0000        4.8727         35.8075        50.0055        
35.0000        55.0000        5.1876         37.5689        50.0070        
35.0000        55.0000        5.5025         40.0329        50.0136        
35.0000        55.0000        -0.4684        40.0365        52.4516        
35.0000        55.0000        -0.1561        40.0374        54.2070        
35.0000        55.0000        0.1561         40.0374        55.7930        
35.0000        55.0000        0.4684         40.0365        57.5484        
35.0000        55.0000        0.7807         40.0333        59.9861        
35.0000        55.0000        1.0956         37.5689        59.9930        
35.0000        55.0000        1.4105         35.8075        59.9945        
35.0000        55.0000        1.7254         34.2214        59.9955        
35.0000        55.0000        2.0403         32.4650        59.9964        
35.0000        55.0000        2.3552         30.0138        59.9969        
35.0000        55.0000        2.6698         30.0136        57.5444        
35.0000        55.0000        2.9843         30.0138        55.7907        
35.0000        65.0000        3.2996         30.0115        64.2053        
35.0000        65.0000        3.6141         30.0122        62.4507        
35.0000        65.0000        3.9286         30.0131        59.9971        
35.0000        65.0000        4.2428         32.4612        59.9965        
35.0000        65.0000        4.5571         34.2164        59.9957        
35.0000        65.0000        4.8713         35.8021        59.9947        
35.0000        65.0000        5.1855         37.5630        59.9932        
35.0000        65.0000        5.4997         40.0328        59.9864        
35.0000        65.0000        -0.4703        40.0282        62.4439        
35.0000        65.0000        -0.1572        40.0243        64.2038        
35.0000        65.0000        0.1560         40.0213        65.7896        
35.0000        65.0000        0.4691         40.0182        67.5436        
35.0000        65.0000        0.7823         40.0144        69.9827        
35.0000        65.0000        1.0970         37.5581        69.9891        
35.0000        65.0000        1.4118         35.8005        69.9910        
35.0000        65.0000        1.7265         34.2163        69.9923        
35.0000        65.0000        2.0413         32.4607        69.9932        
35.0000        65.0000        2.3560         30.0117        69.9942        
35.0000        65.0000        2.6705         30.0098        67.5416        
35.0000        65.0000        2.9850         30.0107        65.7875        
35.0000        75.0000        3.2995         30.0068        74.2047        
35.0000        75.0000        3.6140         30.0076        72.4490        
35.0000        75.0000        3.9284         30.0087        69.9943        
35.0000        75.0000        4.2423         32.4560        69.9934        
35.0000        75.0000        4.5561         34.2109        69.9924        
35.0000        75.0000        4.8699         35.7956        69.9911        
35.0000        75.0000        5.1837         37.5538        69.9893        
35.0000        75.0000        5.4976         40.0141        69.9836        
35.0000        75.0000        -0.4717        40.0112        72.4437        
35.0000        75.0000        -0.1578        40.0094        74.2028        
35.0000        75.0000        0.1561         40.0081        75.7882        
35.0000        75.0000        0.4700         40.0069        77.5434        
35.0000        75.0000        0.7839         40.0054        79.9900        
35.0000        75.0000        1.0984         37.5513        79.9926        
35.0000        75.0000        1.4128         35.7954        79.9933        
35.0000        75.0000        1.7273         34.2121        79.9939        
35.0000        75.0000        2.0417         32.4570        79.9946        
35.0000        75.0000        2.3562         30.0054        79.9951        
35.0000        75.0000        2.6706         30.0056        77.5430        
35.0000        75.0000        2.9851         30.0061        75.7880        
35.0000        85.0000        3.2992         30.0035        84.2057        
35.0000        85.0000        3.6136         30.0040        82.4496        
35.0000        85.0000        3.9279         30.0047        79.9953        
35.0000        85.0000        4.2419         32.4545        79.9947        
35.0000        85.0000        4.5559         34.2101        79.9940        
35.0000        85.0000        4.8698         35.7949        79.9934        
35.0000        85.0000        5.1838         37.5526        79.9927        
35.0000        85.0000        5.4978         40.0015        79.9907        
35.0000        85.0000        -0.4714        40.0043        82.4492        
35.0000        85.0000        -0.1574        40.0038        84.2060        
35.0000        85.0000        0.1566         40.0033        85.7902        
35.0000        85.0000        0.4707         40.0028        87.5454        
35.0000        85.0000        0.7847         40.0024        89.9948        
35.0000        85.0000        1.0990         37.5493        89.9960        
35.0000        85.0000        1.4133         35.7936        89.9963        
35.0000        85.0000        1.7276         34.2101        89.9965        
35.0000        85.0000        2.0419         32.4549        89.9968        
35.0000        85.0000        2.3562         30.0039        89.9970        
35.0000        85.0000        2.6705         30.0030        87.5449        
35.0000        85.0000        2.9849         30.0032        85.7895        
35.0000        95.0000        3.2990         30.0020        94.2068        
35.0000        95.0000        3.6133         30.0022        92.4509        
35.0000        95.0000        3.9275         30.0025        89.9972        
35.0000        95.0000        4.2415         32.4532        89.9969        
35.0000        95.0000        4.5555         34.2087        89.9967        
35.0000        95.0000        4.8695         35.7929        89.9964        
35.0000        95.0000        5.1835         37.5491        89.9960        
35.0000        95.0000        5.4975         40.0020        89.9953        
35.0000        95.0000        -0.4715        40.0020        92.4497        
35.0000        95.0000        -0.1573        40.0017        94.2065        
35.0000        95.0000        0.1568         40.0017        95.7908        
35.0000        95.0000        0.4710         40.0015        97.5466        
35.0000        95.0000        0.7851         40.0014        99.9982        
